description,is_already_present
Presentation Webinar - ESIGELEC Exchange Programme APRIL 14,1
Director's Message: STUDENT CLINIC,1
"Notification: Holiday - April 22, 2023, on account of Ramza",1
Second Semester BTech Insemester exam II TimeTable - April 2023,1
IV Semester BTech Insemester exam II TimeTable - April 2023,1
VI Semester BTech Insemester exam II TimeTable - April 2023,1
Notification-Cancellation of theory classes during In-sem. Exam-1( Remedial sections),1
REVISED TIMETABLE - SECOND SEMESTER B.TECH. IN-SEMESTER EXAMINATION - I (REMEDIAL SECTIONS),1
"NOTIFICATION - PAPER SEEING I SEMESTER B.TECH. MAKEUP EXAMINATIONS, MARCH 20, 2023",1
Notification: Paper Seeing and Re-evaluation of I Semester B. Tech Makeup Examinations,1
